股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間
1525,江申,63.8,68.55,58.76,48.25,0.06,-0.11,0.17,64.87,63.22,61.58,36,34,1.04,46.83,16.53,3.1,4.86,2026-02-28 15:32:28
1526,日馳,19.7,12.61,16.62,31.34,0.22,0.51,-0.28,23.33,20.9,18.47,117,126,0.93,11.82,,,,2026-02-28 15:32:29
1527,鑽全,33.8,35.97,39.06,30.3,-0.06,0.1,-0.15,37.04,34.85,32.66,185,284,0.65,46.84,24.67,2.2,6.51,2026-02-28 15:32:30
1528,恩德,23.6,22.54,22.13,36.21,-0.14,0.57,-0.71,31.64,26.4,21.16,6795,10281,0.66,45.15,,0.1,0.42,2026-02-28 15:32:32
1529,樂事綠能,25.7,70.27,58.48,51.89,0.9,0.86,0.04,27.52,24.73,21.93,4250,4247,1.0,39.86,34.27,0.2,0.78,2026-02-28 15:32:33
1530,亞崴,28.7,42.95,40.44,45.68,0.19,0.28,-0.09,29.66,29.07,28.49,44,32,1.35,27.15,47.83,1.53,5.33,2026-02-28 15:32:34
1531,高林股,12.4,56.68,55.84,50.0,0.08,0.07,0.01,12.72,12.35,11.98,41,138,0.3,22.58,13.19,0.4,3.23,2026-02-28 15:32:36
1532,勤美,24.35,63.56,53.3,39.58,-0.37,-0.44,0.06,25.25,24.49,23.74,535,602,0.89,101.36,121.75,1.73,7.1,2026-02-28 15:32:37
1533,車王電,30.9,51.27,43.62,37.08,-0.38,-0.4,0.02,32.73,31.24,29.75,83,103,0.8,30.45,52.37,,,2026-02-28 15:32:38
1535,中宇,51.5,69.56,45.04,47.18,-0.93,-1.19,0.25,55.0,50.19,45.37,181,186,0.97,63.73,12.97,3.0,5.83,2026-02-28 15:32:39
1536,和大,61.1,60.69,55.94,39.8,0.48,0.66,-0.19,65.76,62.09,58.42,1602,2006,0.8,170.44,407.33,0.8,1.31,2026-02-28 15:32:41
1537,廣隆,125.5,83.13,67.09,56.25,0.21,-0.07,0.28,125.78,123.8,121.82,98,76,1.28,102.99,15.21,10.5,8.37,2026-02-28 15:32:42
