股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,BB上軌,BB下軌,成交量張,量比,市值億,本益比,每股配息,殖利率,更新時間
2385,群光,123.5,,,,,,,,,,,,,,2026-02-25
2387,精元,43.3,,,,,,,,,,,,,,2026-02-25
2388,威盛,49.55,,,,,,,,,,,,,,2026-02-25
2390,云辰,10.3,,,,,,,,,,,,,,2026-02-25
2392,正崴,40.45,,,,,,,,,,,,,,2026-02-25
2393,億光,58.8,,,,,,,,,,,,,,2026-02-25
2395,研華,333.0,,,,,,,,,,,,,,2026-02-25
2397,友通,61.8,,,,,,,,,,,,,,2026-02-25
2399,映泰,22.8,,,,,,,,,,,,,,2026-02-25
2401,凌陽,22.6,,,,,,,,,,,,,,2026-02-25
2402,毅嘉,54.9,,,,,,,,,,,,,,2026-02-25
2404,漢唐,1035.0,,,,,,,,,,,,,,2026-02-25
2405,輔信,16.05,,,,,,,,,,,,,,2026-02-25
2406,國碩,30.05,,,,,,,,,,,,,,2026-02-25
2408,南亞科,288.0,,,,,,,,,,,,,,2026-02-25
2409,友達,16.1,,,,,,,,,,,,,,2026-02-25
2412,中華電,136.0,,,,,,,,,,,,,,2026-02-25
2413,環科,55.2,,,,,,,,,,,,,,2026-02-25
2414,精技,42.7,,,,,,,,,,,,,,2026-02-25
2415,錩新,27.6,,,,,,,,,,,,,,2026-02-25
2417,圓剛,36.6,,,,,,,,,,,,,,2026-02-25
2419,仲琦,29.6,,,,,,,,,,,,,,2026-02-25
2420,新巨,51.7,,,,,,,,,,,,,,2026-02-25
2421,建準,151.5,,,,,,,,,,,,,,2026-02-25
2423,固緯,49.35,,,,,,,,,,,,,,2026-02-25
2424,隴華,33.25,,,,,,,,,,,,,,2026-02-25
2425,承啟,28.05,,,,,,,,,,,,,,2026-02-25
2426,鼎元,19.4,,,,,,,,,,,,,,2026-02-25
2427,三商電,26.6,,,,,,,,,,,,,,2026-02-25
2428,興勤,189.5,,,,,,,,,,,,,,2026-02-25
2429,銘旺科,58.0,,,,,,,,,,,,,,2026-02-25
2430,燦坤,23.1,,,,,,,,,,,,,,2026-02-25
2431,聯昌,16.45,,,,,,,,,,,,,,2026-02-25
2432,倚天酷碁-創,24.1,,,,,,,,,,,,,,2026-02-25
2433,互盛電,47.25,,,,,,,,,,,,,,2026-02-25
2434,統懋,30.1,,,,,,,,,,,,,,2026-02-25
2436,偉詮電,59.9,,,,,,,,,,,,,,2026-02-25
2438,翔耀,22.05,,,,,,,,,,,,,,2026-02-25
2439,美律,98.4,,,,,,,,,,,,,,2026-02-25
2440,太空梭,16.15,,,,,,,,,,,,,,2026-02-25
2441,超豐,93.2,,,,,,,,,,,,,,2026-02-25
2442,新美齊,19.5,,,,,,,,,,,,,,2026-02-25
2444,兆勁,12.45,,,,,,,,,,,,,,2026-02-25
2449,京元電子,320.0,,,,,,,,,,,,,,2026-02-25
2450,神腦,29.9,,,,,,,,,,,,,,2026-02-25
2451,創見,215.0,,,,,,,,,,,,,,2026-02-25
2453,凌群,52.6,,,,,,,,,,,,,,2026-02-25
2454,聯發科,1870.0,,,,,,,,,,,,,,2026-02-25
2455,全新,198.0,,,,,,,,,,,,,,2026-02-25
2457,飛宏,30.3,,,,,,,,,,,,,,2026-02-25
2458,義隆,119.5,,,,,,,,,,,,,,2026-02-25
2459,敦吉,67.2,,,,,,,,,,,,,,2026-02-25
2460,建通,28.5,,,,,,,,,,,,,,2026-02-25
2461,光群雷,16.8,,,,,,,,,,,,,,2026-02-25
2462,良得電,25.35,,,,,,,,,,,,,,2026-02-25
2464,盟立,71.2,,,,,,,,,,,,,,2026-02-25
2465,麗臺,53.1,,,,,,,,,,,,,,2026-02-25
2466,冠西電,51.3,,,,,,,,,,,,,,2026-02-25
2467,志聖,292.0,,,,,,,,,,,,,,2026-02-25
2468,華經,35.5,,,,,,,,,,,,,,2026-02-25
2471,資通,49.7,,,,,,,,,,,,,,2026-02-25
2472,立隆電,122.5,,,,,,,,,,,,,,2026-02-25
2474,可成,192.5,,,,,,,,,,,,,,2026-02-25
2476,鉅祥,84.8,,,,,,,,,,,,,,2026-02-25
2477,美隆電,24.45,,,,,,,,,,,,,,2026-02-25
2478,大毅,72.2,,,,,,,,,,,,,,2026-02-25
2480,敦陽科,145.0,,,,,,,,,,,,,,2026-02-25
2481,強茂,87.7,,,,,,,,,,,,,,2026-02-25
2482,連宇,18.0,,,,,,,,,,,,,,2026-02-25
2483,百容,22.1,,,,,,,,,,,,,,2026-02-25
2484,希華,30.8,,,,,,,,,,,,,,2026-02-25
2485,兆赫,42.0,,,,,,,,,,,,,,2026-02-25
2486,一詮,139.5,,,,,,,,,,,,,,2026-02-25
2488,漢平,48.6,,,,,,,,,,,,,,2026-02-25
2489,瑞軒,36.0,,,,,,,,,,,,,,2026-02-25
2491,吉祥全,17.15,,,,,,,,,,,,,,2026-02-25
2492,華新科,156.0,,,,,,,,,,,,,,2026-02-25
2493,揚博,118.0,,,,,,,,,,,,,,2026-02-25
2495,普安,31.85,,,,,,,,,,,,,,2026-02-25
2496,卓越,69.0,,,,,,,,,,,,,,2026-02-25
2497,怡利電,45.4,,,,,,,,,,,,,,2026-02-25
2498,宏達電,45.15,,,,,,,,,,,,,,2026-02-25
2501,國建,22.75,,,,,,,,,,,,,,2026-02-25
2504,國產,36.8,,,,,,,,,,,,,,2026-02-25
2505,國揚,18.85,,,,,,,,,,,,,,2026-02-25
2506,太設,9.04,,,,,,,,,,,,,,2026-02-25
2509,全坤建,14.7,,,,,,,,,,,,,,2026-02-25
2511,太子,8.27,,,,,,,,,,,,,,2026-02-25
2514,龍邦,14.9,,,,,,,,,,,,,,2026-02-25
2515,中工,16.65,,,,,,,,,,,,,,2026-02-25
2516,新建,14.7,,,,,,,,,,,,,,2026-02-25
2520,冠德,31.6,,,,,,,,,,,,,,2026-02-25
2524,京城,42.85,,,,,,,,,,,,,,2026-02-25
2527,宏璟,31.1,,,,,,,,,,,,,,2026-02-25
2528,皇普,28.65,,,,,,,,,,,,,,2026-02-25
2530,華建,26.95,,,,,,,,,,,,,,2026-02-25
2534,宏盛,20.05,,,,,,,,,,,,,,2026-02-25
2535,達欣工,74.0,,,,,,,,,,,,,,2026-02-25
2536,宏普,23.45,,,,,,,,,,,,,,2026-02-25
2537,聯上發,10.55,,,,,,,,,,,,,,2026-02-25
2538,基泰,10.7,,,,,,,,,,,,,,2026-02-25
2539,櫻花建,49.25,,,,,,,,,,,,,,2026-02-25
2540,愛山林,46.25,,,,,,,,,,,,,,2026-02-25
2542,興富發,37.6,,,,,,,,,,,,,,2026-02-25
2543,皇昌,61.4,,,,,,,,,,,,,,2026-02-25
2545,皇翔,37.55,,,,,,,,,,,,,,2026-02-25
2546,根基,87.1,,,,,,,,,,,,,,2026-02-25
2547,日勝生,10.95,,,,,,,,,,,,,,2026-02-25
2548,華固,113.0,,,,,,,,,,,,,,2026-02-25
2597,潤弘,174.5,,,,,,,,,,,,,,2026-02-25
2601,益航,5.41,,,,,,,,,,,,,,2026-02-25
2603,長榮,192.0,,,,,,,,,,,,,,2026-02-25
2605,新興,32.9,,,,,,,,,,,,,,2026-02-25
