股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間,交易日
1513,中興電,173.13,44.1,51.37,K<D,55.83,5.86,6.64,-0.78,DIF<MACD,194.64,165.18,135.71,47.52,7693,14304,0.88,834.99,21.89,4.6,2.72,2026-02-03 23:25:41,
1514,亞力,124.1,35.93,48.62,K<D,59.74,7.18,7.91,-0.73,DIF<MACD,153.44,119.95,86.46,56.96,9052,11413,0.75,341.3,43.15,1.7,1.35,2026-02-03 23:25:42,
1515,力山,25.96,11.5,22.72,K<D,30.34,-0.3,-0.09,-0.22,DIF<MACD,29.17,27.47,25.76,10.33,305,428,0.43,47.36,8.42,1.0,3.83,2026-02-03 23:25:43,
1516,川飛,21.98,32.09,36.14,K<D,44.58,0.17,0.28,-0.12,DIF<MACD,22.84,21.95,21.06,32.87,27,31,0.51,8.66,,,,2026-02-03 23:25:44,
1517,利奇,11.8,24.99,37.04,K<D,53.41,0.22,0.3,-0.08,DIF<MACD,13.61,12.03,10.44,46.86,493,466,1.51,26.4,1.82,0.2,1.67,2026-02-03 23:25:45,
1519,華城,922.96,28.34,48.85,K<D,59.26,50.79,59.66,-8.88,DIF<MACD,1143.02,936.1,729.18,59.38,5958,4097,1.02,2991.39,69.84,9.0,0.95,2026-02-03 23:25:47,
1521,大億,26.12,14.6,35.93,K<D,62.56,0.66,0.87,-0.21,DIF<MACD,30.93,26.44,21.96,43.01,8,51,0.1,20.16,41.98,1.0,3.78,2026-02-03 23:25:48,
1522,堤維西,48.0,20.68,30.8,K<D,56.64,0.59,0.84,-0.24,DIF<MACD,54.21,49.15,44.1,48.61,623,1323,0.32,152.86,51.04,3.0,6.12,2026-02-03 23:25:49,
1524,耿鼎,33.95,25.47,41.09,K<D,58.52,1.21,1.34,-0.13,DIF<MACD,37.2,32.83,28.45,44.34,1498,2646,0.69,54.72,13.03,2.3,6.95,2026-02-03 23:25:50,
1525,江申,63.66,26.52,35.06,K<D,43.27,-0.18,-0.17,-0.01,DIF<MACD,64.55,63.23,61.9,13.92,19,31,0.65,45.88,16.19,3.1,4.96,2026-02-03 23:25:51,
1526,日馳,21.52,30.52,45.19,K<D,64.82,1.05,1.13,-0.08,DIF<MACD,24.89,19.82,14.74,66.58,727,382,1.53,12.81,,,,2026-02-03 23:25:52,
1527,鑽全,34.91,19.52,24.65,K<D,53.21,0.36,0.59,-0.24,DIF<MACD,38.01,34.74,31.47,42.32,187,273,0.48,47.32,24.93,2.2,6.44,2026-02-03 23:25:53,
1528,恩德,27.59,26.93,26.38,K<D,52.19,1.95,2.5,-0.54,DIF<MACD,33.26,26.64,20.01,61.06,2571,2667,0.7,51.85,,0.1,0.37,2026-02-03 23:25:55,
1529,樂事綠能,22.96,17.0,43.72,K<D,60.88,1.21,1.41,-0.2,DIF<MACD,28.32,23.14,17.96,53.66,1034,1753,0.3,36.29,31.2,0.2,0.85,2026-02-03 23:25:56,
1530,亞崴,29.63,41.65,44.08,K<D,57.85,0.48,0.52,-0.04,DIF<MACD,30.77,28.74,26.71,64.4,36,58,0.54,27.39,48.25,1.53,5.28,2026-02-03 23:25:57,
1531,高林股,12.08,13.37,27.57,K<D,47.54,0.06,0.12,-0.06,DIF<MACD,12.85,12.29,11.73,19.77,77,64,1.4,21.94,12.82,0.4,3.32,2026-02-03 23:25:58,
1532,勤美,24.54,9.08,20.4,K<D,16.07,-0.52,-0.45,-0.07,DIF<MACD,26.07,25.07,24.07,0.0,753,694,0.81,100.32,120.5,1.73,7.18,2026-02-03 23:26:00,
1533,車王電,31.33,11.57,19.77,K<D,39.12,-0.39,-0.19,-0.2,DIF<MACD,33.87,32.1,30.34,0.0,82,130,0.5,30.16,51.86,,,2026-02-03 23:26:01,
1535,中宇,49.11,15.73,20.86,K<D,18.73,-0.6,-0.31,-0.29,DIF<MACD,54.66,52.62,50.59,0.0,202,132,1.42,61.44,12.51,3.0,6.04,2026-02-03 23:26:02,
1536,和大,58.4,21.61,43.42,K<D,56.97,1.02,1.38,-0.35,DIF<MACD,68.68,60.51,52.35,46.43,1478,4007,0.85,166.82,398.67,0.8,1.34,2026-02-03 23:26:04,
1537,廣隆,120.5,25.23,31.63,K<D,38.88,-0.24,-0.08,-0.16,DIF<MACD,125.27,123.7,122.13,14.71,49,68,1.17,100.53,14.87,10.5,8.57,2026-02-03 23:26:05,
1538,正峰,25.74,30.52,41.25,K<D,35.29,0.0,0.04,-0.04,DIF<MACD,26.62,26.25,25.88,0.0,2,4,0.76,8.35,,,,2026-02-03 23:26:06,
1539,巨庭,18.34,14.64,29.08,K<D,52.98,0.27,0.5,-0.23,DIF<MACD,21.54,18.71,15.88,46.42,129,172,0.5,11.77,72.0,0.85,4.72,2026-02-03 23:26:07,
