股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1531,高林股,12.45,73.6,74.51,63.33,0.14,0.07,0.07,13.27,12.27,11.26,147,164,0.9,22.67,13.24,0.4,3.21,2026-03-24,2026-03-24 07:32:30
1532,勤美,22.0,13.48,21.36,40.0,-0.58,-0.49,-0.09,24.74,23.35,21.96,790,858,0.92,91.58,22.45,1.73,7.86,2026-03-24,2026-03-24 07:32:31
1533,車王電,29.9,33.27,50.14,53.39,-0.2,-0.23,0.03,31.48,30.45,29.42,64,85,0.76,29.47,51.55,,,2026-03-24,2026-03-24 07:32:32
1535,中宇,52.7,44.43,53.4,65.98,0.64,0.39,0.25,54.54,51.51,48.48,60,91,0.66,65.21,13.21,3.0,5.69,2026-03-24,2026-03-24 07:32:34
1536,和大,51.1,35.62,28.34,35.56,-2.32,-2.1,-0.22,62.88,54.9,46.92,1238,2517,0.49,142.55,94.63,0.8,1.57,2026-03-24,2026-03-24 07:32:36
1537,廣隆,123.5,44.43,50.78,52.38,-0.1,-0.03,-0.07,125.81,123.9,121.99,32,57,0.56,101.35,15.57,10.5,8.5,2026-03-24,2026-03-24 07:32:36
1538,正峰,15.0,10.06,16.05,18.1,-2.29,-2.12,-0.17,25.2,19.23,13.26,24,13,1.85,4.84,,,,2026-03-24,2026-03-24 07:32:37
1539,巨庭,16.55,33.97,44.42,40.0,-0.35,-0.33,-0.02,18.38,17.2,16.03,64,68,0.95,10.82,78.81,0.85,5.14,2026-03-24,2026-03-24 07:32:38
1540,喬福,21.7,25.14,37.99,47.56,-0.57,-0.54,-0.03,24.15,22.65,21.16,235,235,1.0,18.55,19.55,1.6,7.37,2026-03-24,2026-03-24 07:32:39
1541,錩泰,25.2,38.61,46.48,61.54,0.1,0.04,0.05,25.99,24.9,23.82,11,27,0.4,19.86,10.91,0.5,1.98,2026-03-24,2026-03-24 07:32:39
1558,伸興,92.9,21.3,23.27,36.0,-1.23,-1.15,-0.08,99.38,95.12,90.86,29,38,0.77,59.95,16.89,6.0,6.46,2026-03-24,2026-03-24 07:32:40
1560,中砂,446.0,30.78,37.93,45.98,4.12,8.96,-4.84,518.92,474.43,429.93,2367,3183,0.74,656.92,48.96,3.99,0.89,2026-03-24,2026-03-24 07:32:41
1563,巧新,40.05,18.69,14.77,29.79,-1.37,-1.28,-0.09,45.2,41.96,38.72,278,443,0.63,86.94,28.2,2.27,5.67,2026-03-24,2026-03-24 07:32:42
1568,倉佑,22.45,71.91,72.39,66.67,-0.13,-0.26,0.13,23.23,22.19,21.15,130,108,1.2,23.14,16.51,1.2,5.35,2026-03-24,2026-03-24 07:32:43
1582,信錦,82.0,27.15,49.23,50.68,4.38,5.22,-0.84,99.59,84.12,68.66,3158,7019,0.45,118.3,23.91,5.5,6.71,2026-03-24,2026-03-24 07:32:44
1583,程泰,43.5,39.68,34.39,33.17,-1.1,-1.02,-0.09,50.42,45.49,40.55,3,19,0.15,47.59,20.05,3.03,6.97,2026-03-24,2026-03-24 07:32:45
1587,吉茂,34.7,12.08,9.15,28.93,-2.82,-2.68,-0.14,45.18,38.86,32.54,304,557,0.55,27.78,93.78,0.5,1.44,2026-03-24,2026-03-24 07:32:45
1589,永冠-KY,7.81,44.72,47.97,42.58,-1.88,-2.1,0.23,13.76,9.01,4.25,554,1063,0.52,11.96,1.71,,,2026-03-24,2026-03-24 07:32:46
